employee_id,first_name,last_name,email,hire_date,is_remote,status,hierarchy_level,department_id,job_id,manager_id,location_id
1,Carlos,Pivy,carlos.pivy@techcorp.fake,7/4/2016,TRUE,Active,IC,3,8,50,101
2,Jasen,Gman,jasen.gman@techcorp.fake,6/13/2019,TRUE,Active,IC,3,8,50,101
3,Dean,Fire,dean.fire@techcorp.fake,7/30/2017,FALSE,Active,CEO,1,1,,101
4,Bryan,Sancho,bryan.sancho@techcorp.fake,4/22/2021,TRUE,Active,VP,3,3,1,101
5,Sfurti,DaChamp,sfurti.dachamp@techcorp.fake,4/28/2023,FALSE,Active,VP,5,2,1,101
6,Anderson,Toddimus,anderson.toddimus@techcorp.fake,12/28/2016,FALSE,Active,Director,2,5,2,101
7,Liza,Groot,liza.groot@techcorp.fake,5/29/2017,FALSE,Leave,Director,4,5,4,103
8,Charlie,Scarf,charles.scarf@techcorp.fake,11/2/2022,FALSE,Active,Director,5,5,3,103
9,David,Johnson,david.johnson@techcorp.fake,11/18/2023,TRUE,Active,Director,2,5,4,102
10,David,Chen,david.chen@techcorp.fake,10/10/2016,TRUE,Active,Director,2,5,5,103
11,Lisa,Davis,lisa.davis@techcorp.fake,9/26/2017,FALSE,Active,Director,2,5,2,103
12,Li,Gonzalez,li.gonzalez@techcorp.fake,3/2/2019,TRUE,Active,Director,4,5,3,103
13,Marcus,Davis,marcus.davis@techcorp.fake,11/23/2021,TRUE,Active,Director,4,5,4,101
14,Lisa,Robinson,lisa.robinson@techcorp.fake,6/17/2024,FALSE,Active,Director,3,5,2,103
15,John,Sharma,john.sharma@techcorp.fake,6/30/2022,TRUE,Active,Director,7,5,4,101
16,Nancy,Robinson,nancy.robinson@techcorp.fake,6/1/2019,FALSE,Active,Director,2,5,4,102
17,Mary,Smith,mary.smith@techcorp.fake,7/10/2022,FALSE,Active,Director,2,5,4,104
18,Lisa,Taylor,lisa.taylor@techcorp.fake,12/29/2021,TRUE,Active,Director,4,5,4,102
19,Sandra,Martin,sandra.martin@techcorp.fake,4/28/2023,TRUE,Active,Director,5,5,4,104
20,Sofia,White,sofia.white@techcorp.fake,10/6/2017,FALSE,Active,Director,6,5,4,102
21,Mary,Perez,mary.perez@techcorp.fake,3/31/2019,FALSE,Active,Director,4,5,5,104
22,Christopher,Lewis,christopher.lewis@techcorp.fake,3/14/2017,TRUE,Active,Director,3,5,5,103
23,Amit,Perez,amit.perez@techcorp.fake,11/18/2022,FALSE,Active,Director,4,5,4,104
24,Barbara,Rodriguez,barbara.rodriguez@techcorp.fake,4/19/2024,TRUE,Terminated,Director,3,5,2,102
25,Nancy,Martinez,nancy.martinez@techcorp.fake,8/2/2015,FALSE,Active,Director,2,5,3,103
26,Matthew,Ramirez,matthew.ramirez@techcorp.fake,12/24/2023,TRUE,Terminated,Manager,3,6,23,102
27,Anthony,Ramirez,anthony.ramirez@techcorp.fake,6/18/2015,TRUE,Active,Manager,6,7,18,101
28,Margaret,Lee,margaret.lee@techcorp.fake,4/24/2024,TRUE,Active,Manager,5,6,6,101
29,Jessica,White,jessica.white@techcorp.fake,3/5/2024,FALSE,Active,Manager,3,7,17,102
30,Joseph,Johnson,joseph.johnson@techcorp.fake,9/4/2017,FALSE,Active,Manager,2,6,15,104
31,John,Davis,john.davis@techcorp.fake,8/21/2018,FALSE,Active,Manager,2,7,21,101
32,Carlos,Clark,carlos.clark@techcorp.fake,5/26/2015,FALSE,Active,Manager,3,6,13,102
33,Michael,Perez,michael.perez@techcorp.fake,12/4/2019,TRUE,Active,Manager,3,7,25,102
34,Christopher,Clark,christopher.clark@techcorp.fake,5/30/2016,TRUE,Active,Manager,2,7,21,104
35,William,Lewis,william.lewis@techcorp.fake,8/28/2023,FALSE,Active,Manager,2,7,20,102
36,Elena,Williams,elena.williams@techcorp.fake,3/28/2016,FALSE,Active,Manager,2,6,11,102
37,Sarah,Gonzalez,sarah.gonzalez@techcorp.fake,3/1/2015,FALSE,Active,Manager,3,6,20,102
38,Patricia,Martinez,patricia.martinez@techcorp.fake,4/5/2024,TRUE,Active,Manager,7,7,10,103
39,Matthew,Rodriguez,matthew.rodriguez@techcorp.fake,6/11/2016,FALSE,Active,Manager,7,6,8,102
40,Susan,Clark,susan.clark@techcorp.fake,1/12/2024,TRUE,Active,Manager,6,7,8,105
41,William,Chen,william.chen@techcorp.fake,10/20/2017,FALSE,Active,Manager,2,7,9,101
42,Betty,Smith,betty.smith@techcorp.fake,11/26/2021,TRUE,Active,Manager,2,7,7,101
43,Mary,Sharma,mary.sharma@techcorp.fake,4/14/2019,FALSE,Active,Manager,7,7,7,105
44,Karen,Harris,karen.harris@techcorp.fake,9/5/2022,TRUE,Active,Manager,6,6,10,102
45,Margaret,Lewis,margaret.lewis@techcorp.fake,9/30/2022,FALSE,Active,Manager,2,6,18,102
46,Michael,Miller,michael.miller@techcorp.fake,1/7/2018,FALSE,Active,Manager,2,7,19,101
47,Linda,Williams,linda.williams@techcorp.fake,3/8/2016,FALSE,Active,Manager,5,7,8,101
48,Wei,Martin,wei.martin@techcorp.fake,3/22/2018,FALSE,Active,Manager,3,6,6,102
49,Susan,Martin,susan.martin@techcorp.fake,2/5/2016,FALSE,Active,Manager,7,7,7,103
50,Thomas,Robinson,thomas.robinson@techcorp.fake,3/4/2024,FALSE,Active,Manager,5,6,20,103
51,Li,Wang,li.wang@techcorp.fake,10/5/2020,FALSE,Active,Manager,2,6,7,102
52,Marcus,Wang,marcus.wang@techcorp.fake,5/9/2023,TRUE,Active,Manager,2,6,22,101
53,Patricia,Clark,patricia.clark@techcorp.fake,2/11/2021,FALSE,Active,Manager,2,7,22,105
54,Mary,Sanchez,mary.sanchez@techcorp.fake,9/11/2021,FALSE,Active,Manager,2,6,23,102
55,Jennifer,Wilson,jennifer.wilson@techcorp.fake,8/27/2016,FALSE,Active,Manager,2,7,14,102
56,Patricia,Taylor,patricia.taylor@techcorp.fake,10/6/2022,FALSE,Active,Manager,7,7,24,104
57,Mark,Moore,mark.moore@techcorp.fake,1/14/2021,TRUE,Active,Manager,4,7,6,101
58,Sarah,Lewis,sarah.lewis@techcorp.fake,12/16/2019,TRUE,Active,Manager,5,6,18,105
